province,shop_name,city,address,category,lat,lon
Da Nang,SHOP ĐỊU EM BÉ ĐÀ NẴNG,Đà Nẵng,Điện Biên Phủ,,16.0665289,108.2053666
Da Nang,Friendly Shop Shoes,,,clothes,15.8775976,108.3315731
Da Nang,Artbook,,,,15.8772293,108.3284566
Da Nang,H&T Shop Chuyên Hàng Mỹ,Hoi An,Phan Đăng Lưu,clothes,15.8933186,108.3164166
Da Nang,KIẾN GỖ coffee SHOP,Đà Nẵng,Lạc Long Quân,,16.0720444,108.1424099
Da Nang,Peace,,Lê Lợi,,15.8793536,108.3285871
Da Nang,Buffalo Horn Fine Art,,Phan Châu Trinh,,15.8785394,108.3275456
Da Nang,Hung An,,,,15.8794623,108.3267656
Da Nang,Mayfair hotel& Apartment Da Nang,,,,16.0736131,108.2416073
Da Nang,Bebe Clothing,Hội An,Hoàng Diệu,clothes,15.8782129,108.3325528
Da Nang,Reaching Out Arts and Crafts,,,,15.876624,108.327353
Da Nang,Friendly 2 leather bag,,,gift,15.8769562,108.3338522
Da Nang,Buffalo Leather Shop,,Trần Phú,clothes,15.8775413,108.3315473
Da Nang,Kim Hien,,Trần Hưng Đạo,clothes,15.879981,108.3271463
Da Nang,Bảo tàng Mỹ Thuật Đà nẵng,,,,16.0712623,108.2177145
Da Nang,nhà thờ Phú Hạ,,,,16.0337221,108.1057336
Da Nang,bến xe Đà Nẵng,,,,16.0572378,108.1723285
Da Nang,cầu vượt Ngã Ba Huế,,,,16.0600652,108.1761573
Da Nang,ngã tư Phú Hạ,,,,16.0301178,108.1155043
Da Nang,đèo Đại La - xã Hòa Sơn,,,,16.042982,108.1348727
Da Nang,chi nhánh Travel Indochina tại Đà nẵng,,,,16.048629,108.2409543
Da Nang,khách sạn Xanh - đường Hoàng văn Thái,,,,16.0553852,108.1631626
Da Nang,Ngã tư Quân Đoàn,,,,16.0494977,108.2223405
Da Nang,Nhà hàng sinh thái Chân Trời Góc Bể,,,,16.1006744,108.2244954
Da Nang,Blue Eye Tailor,,Nguyễn Thái Học,,15.876678,108.3297881
Da Nang,milano cafe 233 nguyen van linh,,,,16.0605495,108.2140182
Da Nang,"obama beach - son tra, danang",,,,16.0992659,108.3007404
Da Nang,Lantern Workplace and Workshops,,Cửa Đại,gift,15.8806139,108.3384782
Da Nang,YALY,,Trần Phú,,15.8773003,108.33027
Da Nang,Ringô Leather suede,,Trần Phú,,15.8772198,108.3298701
Da Nang,Quoc Hiep Marble Shop,,,furniture,16.0094026,108.2630185
Da Nang,Phi Long Plaza,,,jewelry,16.0604411,108.2135957
Da Nang,tattoo bon,,,department_store,16.067829,108.2015993
Da Nang,,,,,16.0559722,108.2390937
Da Nang,Chợ Miếu Bông,,Quốc lộ 1A,,15.97989,108.2089787
Da Nang,,,,clothes,15.8774163,108.3327806
Da Nang,Eli,,Tran Hung Dao,,15.8797692,108.327281
Da Nang,Ha Na,,,,15.8797912,108.327242
Da Nang,,,Trần Phú,gift,16.062989,108.223376
Da Nang,Amart,Hội An,Hai Bà Trưng,convenience,15.8777563,108.3268351
Da Nang,,,Hai Bà Trưng,,15.8813915,108.3262161
Da Nang,Hoang Dung Martial Arts Club,Hội An,Nguyễn Trường Tộ,,15.8849411,108.3306176
Da Nang,,,,department_store,16.0432041,108.2451708
Da Nang,,,Cua Dai,,15.8799302,108.3375251
Da Nang,Kimmy,Hội An,Trần Hưng Đạo,,15.8800452,108.3268657
Da Nang,Tie and Bow Tie,,Trần Phú,,15.8771599,108.3274461
Da Nang,Yaly Couture,,,,15.8765477,108.3292428
Da Nang,Be Be II Tailor,,Phan Châu Trinh,,15.8783924,108.3266783
Da Nang,Hưng Đức Shop - Đồ dã ngoại,,Cửa Đại,outdoor,15.8811076,108.3419283
Da Nang,Hưng Đức Shop - đồ dã ngoại,,Cửa Đại,outdoor,15.8807598,108.3419305
Da Nang,,,,,15.8772082,108.3286808
Da Nang,An,,Nguyễn Thái Học,,15.8765627,108.3287661
Da Nang,,,,art,15.8771458,108.3294928
Da Nang,Cloth Shop Su,,,,15.8799619,108.3274312
Da Nang,Hoi An Old Town,,,,15.8779509,108.3239898
Da Nang,,,,,16.0609924,108.1846072
Da Nang,,,,,16.0700185,108.2205141
Da Nang,,,,,16.0455792,108.2273451
Da Nang,,,Trần Hưng Đạo,,15.879944,108.3282272
Da Nang,,,Nguyễn Thái Học,clothes,15.8765802,108.3285609
Da Nang,Remy is the absolute best,,,,15.8799019,108.3375334
Da Nang,Cong an My An,,,,16.0426203,108.2481811
Da Nang,Lêvi Gallery,Đà Nẵng,Lê Hồng Phong,gift,16.0638091,108.2229512
Da Nang,Tailor Phuongnam,,Trần Phú,,15.8775172,108.3320202
