item_name,shop_name,city,address,price,material,category,lat,lon
Yamaha town,motorcycle_repair,Tuyên Quang,"Yamaha town, Đường Nguyễn Trãi, Mè Thượng, Nguyễn Trãi, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,motorcycle_repair,22.8083439,104.9788006
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường 20 Tháng 8, Phương Độ, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,motorcycle_repair,22.8284865,104.9569034
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Under Construction, Xã Cao Bồ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.7454376,104.904744
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Under Construction, Xã Cao Bồ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.7465031,104.9073491
WinMart,supermarket,Tuyên Quang,"WinMart, Đường Nguyễn Trãi, Mè Thượng, Nguyễn Trãi, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,supermarket,22.8142514,104.981384
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 176, Xã Đường Thượng, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,motorcycle_repair,22.9862656,105.2392957
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 176, Xã Mậu Duệ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.0642552,105.2238258
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Thuận Hòa, Vị Xuyên, Hà Giang, Xã Thuận Hòa, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.8762061,105.0013965
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Thuận Hòa, Vị Xuyên, Hà Giang, Xã Thuận Hòa, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.9070777,105.0060488
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 176, Xã Mậu Duệ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.0632569,105.2197248
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.1643648,105.1869385
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.9755448,105.1647536
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Sà Phìn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.226959,105.2016253
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Sà Phìn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2320048,105.2157252
None,fuel,Tuyên Quang,"TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,22.983627,105.1986527
None,fuel,Tuyên Quang,"TL 176, Xã Đường Thượng, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,fuel,22.9895683,105.2358519
None,fuel,Tuyên Quang,"TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,22.9753174,105.163698
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.1319981,105.1688368
None,fuel,Tuyên Quang,"TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,22.9757479,105.1667427
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,22.9769872,105.1719773
